店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
魚民 伊那市駅前店,0265-74-6388,,長野県,伊那市,荒井3461-12,加賀屋店舗 1F,,
ホワイトバジル,050-5489-4405,,茨城県,つくば市,桜2-51-5,2F,,
L．a．x casual dining,050-5488-6206,,沖縄県,名護市,城1-9-11,,,
全席個室 京町しずく 京都駅前店,050-5485-6621,,京都府,京都市下京区,東洞院通七条下ル二丁目東塩小路町730,大和開発京都駅前ビル5F,,
かみふうせん 新庄西口駅前店,0233-23-2988,,山形県,新庄市,沖の町1-6,八百清商店ビル1F,,
博多魚がし海の路 天神店,050-5484-2038,,福岡県,福岡市中央区,天神1-12-3,天神町木村家ビルB1,,
夢一喜 箕面船場店,050-5487-5224,,大阪府,箕面市,稲6-7-20,,,
旬魚季菜 とと桜,050-5486-2131,,石川県,金沢市,片町2-5-5,,,
かに道楽 奈良橿原店,050-5485-8575,,奈良県,橿原市,上品寺町280-1,,,
屋形船 大江戸,050-5484-6779,contact@o-edo.net,東京都,品川区,北品川1-16-1,,,
生け簀の銀次 新都心店,050-5484-7505,,沖縄県,那覇市,おもろまち4-12-9,,,
天ぷら 海鮮 個室居酒屋 天海 一宮駅前店,050-5489-2939,,愛知県,一宮市,栄1-11-14,,,
寿し処 光本,050-5484-5351,,福岡県,北九州市門司区,港町9-2,,,
ChezSAWA,050-8885-0767,,島根県,隠岐郡知夫村,仁夫2293,,,
全席個室 じぶんどき 品川港南口店,050-5484-2495,,東京都,港区,港南2-5-14,カナーレ品川,,
全席完全個室・和食割烹 越後庵 牡丹 ‐名駅本店‐,050-5493-6574,,愛知県,名古屋市中村区,椿町10-21,5～6F,,
お好み焼本舗向山店,050-5489-1589,,愛知県,豊橋市,つつじが丘2-6-21,,,
焼肉五苑 松山谷町店,050-5492-1596,,愛媛県,松山市,谷町186-5,,,
DEARBROS．（ディアブロ）,050-5485-2341,,大阪府,吹田市,千里山東1-7-28,,,
炉端かば 三次店,050-5485-7029,,広島県,三次市,十日市中2-2-6,,,
月の呑場,050-5485-0675,,京都府,京田辺市,田辺中央6-3-6,,,
味の民芸 国立店,050-5486-1103,,東京都,国立市,富士見台3-3-8,,,
島唄居酒屋 喜山,050-5492-4189,,沖縄県,宮古島市,平良字西里244,,,
すし・海鮮居酒屋 阿波水産 泉北店,050-5486-2403,,大阪府,堺市南区,小代360-1,,,
岩国縁家,050-5487-6765,,山口県,岩国市,麻里布町2-3-26,,,
にぎり長次郎 茨木インター店,050-5489-5307,,大阪府,茨木市,上穂積4-7-50,,,
魚菜家 小針店～さかなや～,050-5486-3517,,新潟県,新潟市西区,小針6-33-21,,,
鳥いちばん 伊川谷店,050-5486-0816,,兵庫県,神戸市西区,池上4-23-5,,,
洋風居酒屋いしおか邸～地元の旬野菜と石窯焼き料理～,0299-29-9505,,茨城県,石岡市,石岡3165-1,,,
寧々家 仙台吉成店,050-1720-6407,,宮城県,仙台市青葉区,吉成台2-1-25,,,
めん割烹なか川,050-5494-9126,,栃木県,足利市,通2-2659,,,
飛騨牛焼肉 にくなべ屋 朧月〜おぼろづき〜豊田キタ町店,050-5486-6308,,愛知県,豊田市,喜多町3-58,1F,,
個室居酒屋 藁焼き×日本酒処 龍馬 松江店,050-5488-2005,,島根県,松江市,朝日町493-1,,,
個室居酒屋 四季彩 ‐Shikisai‐ 八重洲店,050-5492-4544,,東京都,中央区,日本橋3-4-15,八重洲通ビルヂングB1,,
全席個室 じぶんどき博多筑紫口店,050-5486-2693,,福岡県,福岡市博多区,博多駅中央街6-3,博多中央街ビル8F,,
Poco a Poco 読谷店,098-958-3030,,沖縄県,中頭郡読谷村,波平2142-1,,,
ホルモン工房 恵屋,050-5493-0471,,高知県,高知市,横浜160-16,,,
炉端かば 浜田店,050-5485-3884,,島根県,浜田市,浅井町86-34,,,
牛豚馬鶏 二本松店,050-5486-4354,,福島県,二本松市,槻木117,,,
日本料理 銀座 萬菊,050-5485-3405,,東京都,中央区,銀座6-16-6,坂口銀座ビル2F,,
さかな市場 博多筑紫口3号店,050-5484-7839,,福岡県,福岡市博多区,博多駅中央街4-16,フォルツァ博多1F,,
飛騨牛一頭家 馬喰一代 県庁東,050-5485-7125,,岐阜県,岐阜市,宇佐南3-3-17,2F,,
韓国屋台料理とプルコギ専門店ヒョンチャンプルコギ福井大和田店,050-5488-7200,,福井県,福井市,大和田1-1105,,,
酔い夜 あらたえ,050-5487-4310,,群馬県,太田市,飯田町1189,,,
しゃぶしゃぶ 日本料理 木曽路 住之江公園店,050-5484-6899,,大阪府,大阪市住之江区,南加賀屋3-3-2,,,
全席個室 じぶんどき 横浜店,050-5485-6520,,神奈川県,横浜市西区,南幸2-17-1,相鉄南幸第7ビルB1,,
鉄板焼 大蔵屋 刈谷駅前本店,050-5494-0700,,愛知県,刈谷市,桜町2-37-1,,,
居酒屋 とんとんびょうし 鯖江店,050-5486-7877,,福井県,鯖江市,神中町2-3-51,,,
串揚げ・もんじゃ・お好み焼き ふたつめ 裾野店,050-5485-1044,,静岡県,裾野市,茶畑199-1,,,
山内農場 千葉ニュータウン中央南口駅前店,0476-45-5288,,千葉県,印西市,中央南1-8,千葉ニュータウン中央駅前センタービル1F,,
